"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2024-09-09 20:24:24", "1322898", "a04e6ee334556cebd31e9ae152ddbed1", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:24:20", "1322895", "503d82b75f2a7fe5bb4ee97b320130e4", "md5_hash", "payload", "win.netwire", "NetWeird,NetWire,Recam", "NetWire RC", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:24:17", "1322892", "9316ff927453a87f0977c9490f748070", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:24:13", "1322889", "08de676703b331cc3bc1d047e9a5384a", "md5_hash", "payload", "win.netwire", "NetWeird,NetWire,Recam", "NetWire RC", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:24:09", "1322886", "ccd04aba8e580f90bd3343ad3b13618a", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:24:06", "1322883", "4bc38cf51f871acc13ed1549bee5a2ce", "md5_hash", "payload", "win.netwire", "NetWeird,NetWire,Recam", "NetWire RC", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:24:02", "1322880", "db6dfac7d40f2bb3e76e775c9a549b62", "md5_hash", "payload", "win.sombrat", "None", "SombRAT", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:58", "1322877", "5a1a4200ce20d69530ca2b5ea575ef4a", "md5_hash", "payload", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:55", "1322874", "d153584c42340d402d6e44454c3ad5b2", "md5_hash", "payload", "win.remcos", "RemcosRAT,Remvio,Socmer", "Remcos", "", "95", "None", "None", "0", "Grim"
"2024-09-09 20:23:51", "1322871", "7f78150919a220a0d293854c502ca01b", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
